id,latitude,longitude,image,confidence
2,42.3510195624,-5.7367291981,2.png,0.60036
3,42.3510131415,-5.7367337786,3.png,0.62210
1,42.3510304753,-5.7367209269,1.png,0.65006
5,42.3510139874,-5.7367233678,5.png,0.66488
28,42.3510122113,-5.7367307140,28.png,0.66766
25,42.3510169422,-5.7367310520,25.png,0.65523
69,42.3510017711,-5.7367299314,69.png,0.65304
74,42.3510018851,-5.7367267128,74.png,0.67253
76,42.3510045947,-5.7367281757,76.png,0.61871
96,42.3510103354,-5.7367241909,96.png,0.60610
49,42.3510115914,-5.7367304230,49.png,0.69017
120,42.3510086628,-5.7367270052,120.png,0.69404
105,42.3510091093,-5.7367315240,105.png,0.83021
122,42.3509997801,-5.7367330835,122.png,0.62835
137,42.3510060713,-5.7367313800,137.png,0.78153
155,42.3509966835,-5.7367313087,155.png,0.65075
163,42.3510010780,-5.7367270338,163.png,0.76474
172,42.3510015281,-5.7367281833,172.png,0.68982
212,42.3509932497,-5.7367211859,212.png,0.61956
202,42.3509982339,-5.7367252126,202.png,0.64758
205,42.3509974845,-5.7367245333,205.png,0.60830
224,42.3509880616,-5.7367240711,224.png,0.71122
273,42.3509809044,-5.7367247457,273.png,0.71823
269,42.3509814402,-5.7367175714,269.png,0.66879
318,42.3509827541,-5.7367213881,318.png,0.68279
346,42.3509768910,-5.7367214620,346.png,0.78494
345,42.3509761442,-5.7367214625,345.png,0.66243
368,42.3509753551,-5.7367169096,368.png,0.70715
399,42.3509652360,-5.7367176397,399.png,0.61986
403,42.3509701883,-5.7367172623,403.png,0.69729
402,42.3509666289,-5.7367163509,402.png,0.70693
429,42.3509600498,-5.7367163501,429.png,0.61539
431,42.3509606715,-5.7367151743,431.png,0.60381
480,42.3509553960,-5.7367133478,480.png,0.68412
513,42.3509545750,-5.7367121239,513.png,0.77360
512,42.3509543706,-5.7367097281,512.png,0.74078
544,42.3509487511,-5.7367088775,544.png,0.61600
615,42.3509501645,-5.7367096141,615.png,0.71816
631,42.3509404042,-5.7367089257,631.png,0.83755
642,42.3509463295,-5.7367078796,642.png,0.77135
644,42.3509467182,-5.7367043548,644.png,0.63930
659,42.3509420139,-5.7367082083,659.png,0.61189
671,42.3509427416,-5.7367051184,671.png,0.85999
